Trade number,Signal date,Signal time,Side,Entry time,Entry price,Exit time,Exit price,SL,TP,BE,Unit,Exit reason,TP/SL outcome,Gross profit/loss,Commission,Clearing fee,Exchange fee,IP fee,NFA fee,Net profit/loss,MAE,MFE,ETD,Bars held,Duration minutes,Max RR,BE activated,Cumulative net profit,Status,Error
1,03-08-2026,04:30,SELL,03-08-2026 04:30,58.31,03-08-2026 05:42,58.150000000000006,58.39,58.150000000000006,,USD,TP,TP,0.1599999999999966,0.0,0.0,0.0,0.0,0.0,0.1599999999999966,0.07900000000000063,0.1910000000000025,,73,72,2.39,False,0.1599999999999966,OK,
2,03-08-2026,05:30,BUY,03-08-2026 05:30,58.291,03-08-2026 05:36,58.211,58.211,58.45099999999999,,USD,SL,SL,-0.0799999999999983,0.0,0.0,0.0,0.0,0.0,-0.0799999999999983,0.09799999999999898,0.09800000000000608,,7,6,1.23,False,0.0799999999999983,OK,
3,03-08-2026,05:45,SELL,03-08-2026 05:45,58.156,03-08-2026 05:55,57.996,58.236,57.996,,USD,TP,TP,0.1599999999999966,0.0,0.0,0.0,0.0,0.0,0.1599999999999966,0.06900000000000261,0.2010000000000005,,11,10,2.51,False,0.23999999999999488,OK,
4,03-08-2026,06:45,BUY,03-08-2026 06:45,58.041,03-08-2026 06:46,57.961,57.961,58.20099999999999,,USD,SL,SL,-0.0799999999999983,0.0,0.0,0.0,0.0,0.0,-0.0799999999999983,0.10999999999999943,0.04200000000000159,,2,1,0.53,False,0.1599999999999966,OK,
5,03-08-2026,07:00,BUY,03-08-2026 07:00,58.14,03-08-2026 07:12,58.06,58.06,58.3,,USD,SL,SL,-0.0799999999999983,0.0,0.0,0.0,0.0,0.0,-0.0799999999999983,0.10500000000000398,0.08800000000000097,,13,12,1.1,False,0.0799999999999983,OK,
6,03-08-2026,07:45,SELL,03-08-2026 07:45,58.115,03-08-2026 07:50,58.195,58.195,57.955000000000005,,USD,SL,SL,-0.0799999999999983,0.0,0.0,0.0,0.0,0.0,-0.0799999999999983,0.08500000000000085,0.1180000000000021,,6,5,1.48,False,0.0,OK,
7,03-08-2026,08:30,BUY,03-08-2026 08:30,58.111,03-08-2026 09:37,58.270999999999994,58.031,58.270999999999994,,USD,TP,TP,0.1599999999999966,0.0,0.0,0.0,0.0,0.0,0.1599999999999966,0.04299999999999926,0.21000000000000085,,68,67,2.63,False,0.1599999999999966,OK,
8,03-08-2026,09:00,SELL,03-08-2026 09:00,58.133,03-08-2026 09:03,58.213,58.213,57.973000000000006,,USD,SL,SL,-0.0799999999999983,0.0,0.0,0.0,0.0,0.0,-0.0799999999999983,0.08099999999999596,0.025000000000005684,,4,3,0.31,False,0.0799999999999983,OK,
9,03-08-2026,09:30,BUY,03-08-2026 09:30,58.222,03-08-2026 09:58,58.382,58.142,58.382,,USD,TP,TP,0.1599999999999966,0.0,0.0,0.0,0.0,0.0,0.1599999999999966,0.020000000000003126,0.16499999999999915,,29,28,2.06,False,0.23999999999999488,OK,
10,03-08-2026,10:30,SELL,03-08-2026 10:30,58.276,03-08-2026 10:45,58.11600000000001,58.356,58.11600000000001,,USD,TP,TP,0.1599999999999966,0.0,0.0,0.0,0.0,0.0,0.1599999999999966,0.04899999999999949,0.18299999999999983,,16,15,2.29,False,0.3999999999999915,OK,
11,03-08-2026,11:30,BUY,03-08-2026 11:30,58.152,03-08-2026 11:53,58.312,58.072,58.312,,USD,TP,TP,0.1599999999999966,0.0,0.0,0.0,0.0,0.0,0.1599999999999966,0.06499999999999773,0.38700000000000045,,24,23,4.84,False,0.5599999999999881,OK,
12,03-08-2026,12:15,SELL,03-08-2026 12:15,58.181,03-08-2026 12:32,58.021,58.260999999999996,58.021,,USD,TP,TP,0.1599999999999966,0.0,0.0,0.0,0.0,0.0,0.1599999999999966,0.07000000000000028,0.16199999999999903,,18,17,2.02,False,0.7199999999999847,OK,
13,03-08-2026,13:15,BUY,03-08-2026 13:15,58.117,03-08-2026 13:22,58.276999999999994,58.037,58.276999999999994,,USD,TP,TP,0.1599999999999966,0.0,0.0,0.0,0.0,0.0,0.1599999999999966,0.0030000000000001137,0.1739999999999995,,8,7,2.17,False,0.8799999999999812,OK,
14,03-08-2026,14:00,BUY,03-08-2026 14:00,58.179,03-08-2026 14:09,58.339,58.099000000000004,58.339,,USD,TP,TP,0.1599999999999966,0.0,0.0,0.0,0.0,0.0,0.1599999999999966,0.026000000000003354,0.18199999999999505,,10,9,2.27,False,1.0399999999999778,OK,
15,03-08-2026,14:15,BUY,03-08-2026 14:15,58.303,03-08-2026 14:53,58.223,58.223,58.462999999999994,,USD,SL,SL,-0.0799999999999983,0.0,0.0,0.0,0.0,0.0,-0.0799999999999983,0.11299999999999955,0.07100000000000506,,39,38,0.89,False,0.9599999999999795,OK,
16,03-08-2026,15:00,SELL,03-08-2026 15:00,58.171,03-08-2026 16:01,58.011,58.251,58.011,,USD,TP,TP,0.1599999999999966,0.0,0.0,0.0,0.0,0.0,0.1599999999999966,0.06400000000000006,0.16400000000000148,,62,61,2.05,False,1.1199999999999761,OK,
17,03-08-2026,17:30,BUY,03-08-2026 17:30,57.984,03-08-2026 17:40,57.904,57.904,58.144,,USD,SL,SL,-0.0799999999999983,0.0,0.0,0.0,0.0,0.0,-0.0799999999999983,0.11400000000000432,0.047999999999994714,,11,10,0.6,False,1.0399999999999778,OK,
18,03-08-2026,17:45,SELL,03-08-2026 17:45,57.829,03-08-2026 17:50,57.669000000000004,57.909,57.669000000000004,,USD,TP,TP,0.1599999999999966,0.0,0.0,0.0,0.0,0.0,0.1599999999999966,0.012999999999998124,0.17300000000000182,,6,5,2.16,False,1.1999999999999744,OK,
19,03-08-2026,19:30,BUY,03-08-2026 19:30,57.106,03-08-2026 19:30,57.026,57.026,57.266,,USD,SL,SL,-0.0799999999999983,0.0,0.0,0.0,0.0,0.0,-0.0799999999999983,0.09799999999999898,0.006999999999997897,,1,0,0.09,False,1.1199999999999761,OK,
