Date,Time,Symbol,Timeframe,Side,Unit,Entry,SL,TP,BE,Exit,ExitTime,Duration,MFE,MAE,MaxRR,BEActivated,Result
03-08-2026,03:45,US2000_M15_20260513_20260820,M15,BUY,USD,2954.5,2952.5,2958.5,,2952.5,03-08-2026 03:49,4m,1.599999999999909,2.199999999999818,0.8,false,SL
03-08-2026,04:45,US2000_M15_20260513_20260820,M15,BUY,USD,2951.9,2949.9,2955.9,,2955.9,03-08-2026 05:21,36m,4,0.40000000000009095,2,false,TP
03-08-2026,06:00,US2000_M15_20260513_20260820,M15,SELL,USD,2949.3,2951.3,2945.3,,2951.3,03-08-2026 06:08,8m,0.20000000000027285,2.699999999999818,0.1,false,SL
03-08-2026,06:30,US2000_M15_20260513_20260820,M15,BUY,USD,2951.8,2949.8,2955.8,,2949.8,03-08-2026 06:46,16m,2.5,2.5,1.25,false,SL
03-08-2026,07:00,US2000_M15_20260513_20260820,M15,BUY,USD,2951.9,2949.9,2955.9,,2955.9,03-08-2026 07:49,49m,4.099999999999909,1,2.05,false,TP
03-08-2026,08:15,US2000_M15_20260513_20260820,M15,BUY,USD,2954.9,2952.9,2958.9,,2952.9,03-08-2026 08:52,37m,1.5,2.099999999999909,0.75,false,SL
03-08-2026,09:15,US2000_M15_20260513_20260820,M15,BUY,USD,2956.4,2954.4,2960.4,,2960.4,03-08-2026 10:01,46m,4.199999999999818,0.900000000000091,2.1,false,TP
03-08-2026,11:15,US2000_M15_20260513_20260820,M15,SELL,USD,2960.2,2962.2,2956.2,,2956.2,03-08-2026 12:30,75m,4.099999999999909,0.8000000000001819,2.05,false,TP
03-08-2026,13:15,US2000_M15_20260513_20260820,M15,SELL,USD,2955.6,2957.6,2951.6,,2957.6,03-08-2026 13:22,7m,0.1999999999998181,2.200000000000273,0.1,false,SL
03-08-2026,14:00,US2000_M15_20260513_20260820,M15,SELL,USD,2955,2957,2951,,2957,03-08-2026 14:05,5m,1.199999999999818,2.699999999999818,0.6,false,SL
03-08-2026,14:15,US2000_M15_20260513_20260820,M15,BUY,USD,2958.1,2956.1,2962.1,,2956.1,03-08-2026 14:34,19m,1.900000000000091,2.199999999999818,0.95,false,SL
03-08-2026,14:45,US2000_M15_20260513_20260820,M15,SELL,USD,2956.2,2958.2,2952.2,,2958.2,03-08-2026 15:04,19m,0.5,2,0.25,false,SL
03-08-2026,15:15,US2000_M15_20260513_20260820,M15,BUY,USD,2958.9,2956.9,2962.9,,2956.9,03-08-2026 15:21,6m,1.099999999999909,2,0.55,false,SL
03-08-2026,16:00,US2000_M15_20260513_20260820,M15,SELL,USD,2958,2960,2954,,2960,03-08-2026 16:08,8m,0.3000000000001819,2.300000000000182,0.15,false,SL
03-08-2026,16:00,US2000_M15_20260513_20260820,M15,BUY,USD,2958,2956,2962,,2962,03-08-2026 16:18,18m,4.099999999999909,0.3000000000001819,2.05,false,TP
03-08-2026,16:45,US2000_M15_20260513_20260820,M15,BUY,USD,2960.4,2958.4,2964.4,,2958.4,03-08-2026 17:25,40m,3.599999999999909,2.400000000000091,1.8,false,SL
03-08-2026,18:00,US2000_M15_20260513_20260820,M15,BUY,USD,2959.4,2957.4,2963.4,,2963.4,03-08-2026 18:05,5m,4.199999999999818,0,2.1,false,TP
03-08-2026,19:00,US2000_M15_20260513_20260820,M15,SELL,USD,2957.1,2959.1,2953.1,,2959.1,03-08-2026 19:00,0m,4.900000000000091,2.400000000000091,2.45,false,SL
03-08-2026,19:15,US2000_M15_20260513_20260820,M15,BUY,USD,2962.8,2960.8,2966.8,,2966.8,03-08-2026 19:17,2m,4.5,0.3000000000001819,2.25,false,TP
03-08-2026,21:00,US2000_M15_20260513_20260820,M15,SELL,USD,2980.4,2982.4,2976.4,,2982.4,03-08-2026 21:00,0m,0.20000000000027285,2.299999999999727,0.1,false,SL
03-08-2026,21:15,US2000_M15_20260513_20260820,M15,BUY,USD,2984,2982,2988,,2982,03-08-2026 22:09,54m,3.5,3.199999999999818,1.75,false,SL
03-08-2026,22:15,US2000_M15_20260513_20260820,M15,SELL,USD,2981.1,2983.1,2977.1,,2977.1,03-08-2026 22:33,18m,5.299999999999727,1,2.65,false,TP
03-08-2026,23:15,US2000_M15_20260513_20260820,M15,BUY,USD,2984.5,2982.5,2988.5,,2988.5,03-08-2026 23:35,20m,4.5,0.1999999999998181,2.25,false,TP
04-08-2026,03:45,US2000_M15_20260513_20260820,M15,BUY,USD,2993.5,2991.5,2997.5,,2997.5,04-08-2026 07:20,215m,4,1.900000000000091,2,false,TP
04-08-2026,07:45,US2000_M15_20260513_20260820,M15,SELL,USD,2995.6,2997.6,2991.6,,2991.6,04-08-2026 09:15,90m,4,0.8000000000001819,2,false,TP
04-08-2026,10:15,US2000_M15_20260513_20260820,M15,BUY,USD,2991.6,2989.6,2995.6,,2995.6,04-08-2026 12:31,136m,4,1,2,false,TP
04-08-2026,14:15,US2000_M15_20260513_20260820,M15,SELL,USD,2993.8,2995.8,2989.8,,2989.8,04-08-2026 14:45,30m,4.100000000000364,0,2.05,false,TP
04-08-2026,16:15,US2000_M15_20260513_20260820,M15,BUY,USD,2992.1,2990.1,2996.1,,2996.1,04-08-2026 16:17,2m,4.700000000000273,0.1999999999998181,2.35,false,TP
04-08-2026,18:00,US2000_M15_20260513_20260820,M15,SELL,USD,3004.6,3006.6,3000.6,,3006.6,04-08-2026 18:47,47m,1.900000000000091,2.200000000000273,0.95,false,SL
04-08-2026,19:15,US2000_M15_20260513_20260820,M15,SELL,USD,3004.3,3006.3,3000.3,,3000.3,04-08-2026 19:17,2m,4.700000000000273,1.199999999999818,2.35,false,TP
04-08-2026,19:30,US2000_M15_20260513_20260820,M15,BUY,USD,3009.1,3007.1,3013.1,,3013.1,04-08-2026 19:32,2m,5.200000000000273,1.099999999999909,2.6,false,TP
