Date,Time,Symbol,Timeframe,Side,Unit,Entry,SL,TP,BE,Exit,ExitTime,Duration,MFE,MAE,MaxRR,BEActivated,Result
21-08-2026,09:30,GOLDTEN_30,GOLDTEN_30,BUY,USD,159969,159769,160569,,160569,21-08-2026 11:28,118m,627,69,3.13,false,TP
21-08-2026,18:00,GOLDTEN_30,GOLDTEN_30,SELL,USD,161426,161626,160826,,160826,21-08-2026 18:08,8m,604,17,3.02,false,TP
21-08-2026,20:30,GOLDTEN_30,GOLDTEN_30,SELL,USD,161540,161740,160940,,161740,21-08-2026 20:53,23m,73,210,0.36,false,SL
21-08-2026,21:00,GOLDTEN_30,GOLDTEN_30,BUY,USD,161834,161634,162434,,162434,21-08-2026 22:19,79m,606,153,3.03,false,TP
24-08-2026,09:30,GOLDTEN_30,GOLDTEN_30,BUY,USD,163353,163153,163953,,163153,24-08-2026 09:31,1m,0,237,0,false,SL
24-08-2026,13:30,GOLDTEN_30,GOLDTEN_30,SELL,USD,163707,163907,163107,,163907,24-08-2026 17:05,215m,507,242,2.54,false,SL
24-08-2026,21:30,GOLDTEN_30,GOLDTEN_30,SELL,USD,163799,163999,163199,,163999,24-08-2026 21:31,1m,41,200,0.2,false,SL
24-08-2026,22:30,GOLDTEN_30,GOLDTEN_30,SELL,USD,163748,163948,163148,,163948,24-08-2026 22:39,9m,127,246,0.64,false,SL
25-08-2026,09:30,GOLDTEN_30,GOLDTEN_30,SELL,USD,163055,163255,162455,,163255,25-08-2026 09:41,11m,110,218,0.55,false,SL
25-08-2026,11:00,GOLDTEN_30,GOLDTEN_30,BUY,USD,163569,163369,164169,,163369,25-08-2026 11:12,12m,70,264,0.35,false,SL
25-08-2026,12:30,GOLDTEN_30,GOLDTEN_30,SELL,USD,163370,163570,162770,,163570,25-08-2026 12:37,7m,21,201,0.1,false,SL
25-08-2026,15:30,GOLDTEN_30,GOLDTEN_30,BUY,USD,163069,162869,163669,,162869,25-08-2026 18:10,160m,367,248,1.83,false,SL
25-08-2026,19:00,GOLDTEN_30,GOLDTEN_30,SELL,USD,162078,162278,161478,,162278,25-08-2026 19:01,1m,27,296,0.14,false,SL
25-08-2026,20:30,GOLDTEN_30,GOLDTEN_30,BUY,USD,162551,162351,163151,,163151,25-08-2026 21:04,34m,679,103,3.4,false,TP
26-08-2026,09:00,GOLDTEN_30,GOLDTEN_30,BUY,USD,163130,162930,163730,,162930,26-08-2026 11:15,135m,247,238,1.24,false,SL
26-08-2026,11:30,GOLDTEN_30,GOLDTEN_30,SELL,USD,162939,163139,162339,,162339,26-08-2026 13:53,143m,602,53,3.01,false,TP
26-08-2026,17:30,GOLDTEN_30,GOLDTEN_30,BUY,USD,162399,162199,162999,,162199,26-08-2026 18:01,31m,286,398,1.43,false,SL
26-08-2026,18:30,GOLDTEN_30,GOLDTEN_30,SELL,USD,162020,162220,161420,,162220,26-08-2026 18:32,2m,100,227,0.5,false,SL
26-08-2026,20:00,GOLDTEN_30,GOLDTEN_30,SELL,USD,162120,162320,161520,,161520,26-08-2026 20:32,32m,713,155,3.56,false,TP
27-08-2026,09:30,GOLDTEN_30,GOLDTEN_30,SELL,USD,160229,160429,159629,,160429,27-08-2026 09:34,4m,49,222,0.24,false,SL
27-08-2026,10:30,GOLDTEN_30,GOLDTEN_30,BUY,USD,159906,159706,160506,,159706,27-08-2026 10:30,0m,376,335,1.88,false,SL
27-08-2026,11:00,GOLDTEN_30,GOLDTEN_30,SELL,USD,159237,159437,158637,,158637,27-08-2026 11:01,1m,621,16,3.1,false,TP
27-08-2026,13:00,GOLDTEN_30,GOLDTEN_30,BUY,USD,158857,158657,159457,,159457,27-08-2026 13:16,16m,605,151,3.02,false,TP
27-08-2026,15:00,GOLDTEN_30,GOLDTEN_30,SELL,USD,159150,159350,158550,,158550,27-08-2026 15:30,30m,639,13,3.19,false,TP
27-08-2026,16:30,GOLDTEN_30,GOLDTEN_30,BUY,USD,158781,158581,159381,,158581,27-08-2026 17:36,66m,315,268,1.57,false,SL
27-08-2026,18:00,GOLDTEN_30,GOLDTEN_30,SELL,USD,158650,158850,158050,,158050,27-08-2026 19:18,78m,620,64,3.1,false,TP
27-08-2026,20:00,GOLDTEN_30,GOLDTEN_30,BUY,USD,158512,158312,159112,,159112,27-08-2026 21:05,65m,725,32,3.63,false,TP
28-08-2026,12:00,GOLDTEN_30,GOLDTEN_30,BUY,USD,158463,158263,159063,,159063,28-08-2026 12:25,25m,787,81,3.94,false,TP
28-08-2026,15:00,GOLDTEN_30,GOLDTEN_30,BUY,USD,159593,159393,160193,,160193,28-08-2026 19:27,267m,608,173,3.04,false,TP
28-08-2026,20:00,GOLDTEN_30,GOLDTEN_30,SELL,USD,158250,158450,157650,,158450,28-08-2026 20:00,0m,0,250,0,false,SL
28-08-2026,21:00,GOLDTEN_30,GOLDTEN_30,SELL,USD,158632,158832,158032,,158032,28-08-2026 21:14,14m,632,0,3.16,false,TP
31-08-2026,11:00,GOLDTEN_30,GOLDTEN_30,BUY,USD,154888,154688,155488,,154688,31-08-2026 11:00,0m,31,206,0.15,false,SL
31-08-2026,11:30,GOLDTEN_30,GOLDTEN_30,BUY,USD,154980,154780,155580,,154780,31-08-2026 11:33,3m,0,215,0,false,SL
31-08-2026,15:00,GOLDTEN_30,GOLDTEN_30,BUY,USD,155033,154833,155633,,155633,31-08-2026 15:37,37m,699,25,3.5,false,TP
31-08-2026,17:30,GOLDTEN_30,GOLDTEN_30,SELL,USD,155169,155369,154569,,155369,31-08-2026 17:31,1m,36,204,0.18,false,SL
31-08-2026,20:30,GOLDTEN_30,GOLDTEN_30,BUY,USD,154771,154571,155371,,154571,31-08-2026 21:07,37m,128,202,0.64,false,SL
31-08-2026,22:00,GOLDTEN_30,GOLDTEN_30,BUY,USD,154760,154560,155360,,154560,31-08-2026 22:07,7m,223,260,1.11,false,SL
01-09-2026,10:00,GOLDTEN_30,GOLDTEN_30,SELL,USD,154453,154653,153853,,154653,01-09-2026 11:01,61m,153,216,0.77,false,SL
01-09-2026,13:00,GOLDTEN_30,GOLDTEN_30,SELL,USD,154450,154650,153850,,153850,01-09-2026 13:39,39m,804,29,4.02,false,TP
