Date,Time,Symbol,Timeframe,Side,Unit,Entry,SL,TP,BE,Exit,ExitTime,Duration,MFE,MAE,MaxRR,BEActivated,Result,,
31-08-2026,03:45,US2000_M15_20260828_20260906,M15,SELL,USD,2974,2975.5,2971,,2971,31-08-2026 04:12,27m,3.1,0.9,2.07,FALSE,TP,SL,29
31-08-2026,05:45,US2000_M15_20260828_20260906,M15,BUY,USD,2969.3,2967.8,2972.3,,2972.3,31-08-2026 06:02,17m,3.3,0.7,2.2,FALSE,TP,,
31-08-2026,07:30,US2000_M15_20260828_20260906,M15,BUY,USD,2967.4,2965.9,2970.4,,2965.9,31-08-2026 07:49,19m,2.4,1.6,1.6,FALSE,SL,,24
31-08-2026,08:30,US2000_M15_20260828_20260906,M15,BUY,USD,2968.2,2966.7,2971.2,,2971.2,31-08-2026 10:26,116m,3.2,0.6,2.13,FALSE,TP,,
31-08-2026,13:45,US2000_M15_20260828_20260906,M15,BUY,USD,2979.6,2978.1,2982.6,,2978.1,31-08-2026 15:22,97m,2.9,1.5,1.93,FALSE,SL,,
31-08-2026,16:30,US2000_M15_20260828_20260906,M15,BUY,USD,2976.3,2974.8,2979.3,,2974.8,31-08-2026 17:04,34m,1.8,2,1.2,FALSE,SL,,
31-08-2026,18:00,US2000_M15_20260828_20260906,M15,SELL,USD,2969.8,2971.3,2966.8,,2971.3,31-08-2026 18:05,5m,0.8,1.8,0.53,FALSE,SL,,
31-08-2026,18:45,US2000_M15_20260828_20260906,M15,BUY,USD,2969.8,2968.3,2972.8,,2968.3,31-08-2026 18:56,11m,0.4,1.5,0.27,FALSE,SL,,
31-08-2026,19:15,US2000_M15_20260828_20260906,M15,SELL,USD,2958.5,2960,2955.5,,2960,31-08-2026 19:15,0m,0,3.2,0,FALSE,SL,,
01-09-2026,04:30,US2000_M15_20260828_20260906,M15,SELL,USD,2958.2,2959.7,2955.2,,2959.7,01-09-2026 05:00,30m,0.1,1.5,0.07,FALSE,SL,,
01-09-2026,05:30,US2000_M15_20260828_20260906,M15,SELL,USD,2959.3,2960.8,2956.3,,2960.8,01-09-2026 05:35,5m,1.3,2,0.87,FALSE,SL,,
01-09-2026,05:45,US2000_M15_20260828_20260906,M15,BUY,USD,2960.4,2958.9,2963.4,,2958.9,01-09-2026 07:59,134m,2.6,1.5,1.73,FALSE,SL,,
01-09-2026,08:30,US2000_M15_20260828_20260906,M15,BUY,USD,2960.3,2958.8,2963.3,,2958.8,01-09-2026 10:11,101m,0.2,1.6,0.13,FALSE,SL,,
01-09-2026,11:00,US2000_M15_20260828_20260906,M15,BUY,USD,2959.3,2957.8,2962.3,,2962.3,01-09-2026 11:08,8m,3,0.5,2,FALSE,TP,,
01-09-2026,11:45,US2000_M15_20260828_20260906,M15,SELL,USD,2960.9,2962.4,2957.9,,2962.4,01-09-2026 12:31,46m,1.4,2.2,0.93,FALSE,SL,,
01-09-2026,13:00,US2000_M15_20260828_20260906,M15,SELL,USD,2961.8,2963.3,2958.8,,2958.8,01-09-2026 13:06,6m,3.2,0,2.13,FALSE,TP,,
01-09-2026,15:45,US2000_M15_20260828_20260906,M15,BUY,USD,2944.8,2943.3,2947.8,,2947.8,01-09-2026 15:51,6m,3,0.2,2,FALSE,TP,,
01-09-2026,16:30,US2000_M15_20260828_20260906,M15,SELL,USD,2945,2946.5,2942,,2942,01-09-2026 16:44,14m,3.1,0.1,2.07,FALSE,TP,,
01-09-2026,17:30,US2000_M15_20260828_20260906,M15,SELL,USD,2941.2,2942.7,2938.2,,2942.7,01-09-2026 17:47,17m,1.9,2.1,1.27,FALSE,SL,,
01-09-2026,19:15,US2000_M15_20260828_20260906,M15,SELL,USD,2934.4,2935.9,2931.4,,2931.4,01-09-2026 19:17,2m,3,0,2,FALSE,TP,,
01-09-2026,19:45,US2000_M15_20260828_20260906,M15,BUY,USD,2939,2937.5,2942,,2937.5,01-09-2026 19:49,4m,2.5,1.5,1.67,FALSE,SL,,
01-09-2026,20:30,US2000_M15_20260828_20260906,M15,SELL,USD,2940.4,2941.9,2937.4,,2937.4,01-09-2026 20:50,20m,3.3,1.2,2.2,FALSE,TP,,
01-09-2026,21:15,US2000_M15_20260828_20260906,M15,BUY,USD,2940.4,2938.9,2943.4,,2938.9,01-09-2026 21:24,9m,2,1.7,1.33,FALSE,SL,,
01-09-2026,21:30,US2000_M15_20260828_20260906,M15,SELL,USD,2939.4,2940.9,2936.4,,2936.4,01-09-2026 21:38,8m,3.4,0.7,2.27,FALSE,TP,,
02-09-2026,03:45,US2000_M15_20260828_20260906,M15,SELL,USD,2924.8,2926.3,2921.8,,2921.8,02-09-2026 06:00,135m,3.3,1.4,2.2,FALSE,TP,,
02-09-2026,07:30,US2000_M15_20260828_20260906,M15,BUY,USD,2921.1,2919.6,2924.1,,2919.6,02-09-2026 09:41,131m,2.7,1.5,1.8,FALSE,SL,,
02-09-2026,10:45,US2000_M15_20260828_20260906,M15,BUY,USD,2920.9,2919.4,2923.9,,2923.9,02-09-2026 11:00,15m,3.2,0.3,2.13,FALSE,TP,,
02-09-2026,11:30,US2000_M15_20260828_20260906,M15,SELL,USD,2921.8,2923.3,2918.8,,2923.3,02-09-2026 12:09,39m,1.8,2.7,1.2,FALSE,SL,,
02-09-2026,12:15,US2000_M15_20260828_20260906,M15,BUY,USD,2924.9,2923.4,2927.9,,2927.9,02-09-2026 12:30,15m,3.6,0.9,2.4,FALSE,TP,,
02-09-2026,13:15,US2000_M15_20260828_20260906,M15,SELL,USD,2925.5,2927,2922.5,,2927,02-09-2026 13:26,11m,1.5,1.5,1,FALSE,SL,,
02-09-2026,13:45,US2000_M15_20260828_20260906,M15,SELL,USD,2925.4,2926.9,2922.4,,2922.4,02-09-2026 14:17,32m,3.3,0.6,2.2,FALSE,TP,,
02-09-2026,16:00,US2000_M15_20260828_20260906,M15,SELL,USD,2918.3,2919.8,2915.3,,2915.3,02-09-2026 16:33,33m,3.8,0.1,2.53,FALSE,TP,,
02-09-2026,16:45,US2000_M15_20260828_20260906,M15,BUY,USD,2923.8,2922.3,2926.8,,2922.3,02-09-2026 16:47,2m,1.1,2.2,0.73,FALSE,SL,,
02-09-2026,18:15,US2000_M15_20260828_20260906,M15,SELL,USD,2927.8,2929.3,2924.8,,2929.3,02-09-2026 18:53,38m,2.8,2,1.87,FALSE,SL,,
02-09-2026,20:30,US2000_M15_20260828_20260906,M15,SELL,USD,2950.6,2952.1,2947.6,,2947.6,02-09-2026 20:32,2m,3.3,0.3,2.2,FALSE,TP,,
03-09-2026,03:45,US2000_M15_20260828_20260906,M15,BUY,USD,2959.1,2957.6,2962.1,,2957.6,03-09-2026 06:04,139m,1.9,1.6,1.27,FALSE,SL,,
03-09-2026,06:45,US2000_M15_20260828_20260906,M15,BUY,USD,2958.7,2957.2,2961.7,,2957.2,03-09-2026 07:32,47m,1.7,1.5,1.13,FALSE,SL,,
03-09-2026,08:45,US2000_M15_20260828_20260906,M15,BUY,USD,2959.6,2958.1,2962.6,,2958.1,03-09-2026 10:34,109m,1.8,1.8,1.2,FALSE,SL,,
03-09-2026,11:15,US2000_M15_20260828_20260906,M15,BUY,USD,2957.2,2955.7,2960.2,,2960.2,03-09-2026 11:30,15m,3.3,0.6,2.2,FALSE,TP,,
03-09-2026,12:00,US2000_M15_20260828_20260906,M15,SELL,USD,2957.8,2959.3,2954.8,,2954.8,03-09-2026 12:55,55m,3,1.1,2,FALSE,TP,,
03-09-2026,14:15,US2000_M15_20260828_20260906,M15,SELL,USD,2957.4,2958.9,2954.4,,2954.4,03-09-2026 15:00,45m,3.2,0.1,2.13,FALSE,TP,,
03-09-2026,16:30,US2000_M15_20260828_20260906,M15,BUY,USD,2952.1,2950.6,2955.1,,2955.1,03-09-2026 16:38,8m,3.9,0.9,2.6,FALSE,TP,,
03-09-2026,20:30,US2000_M15_20260828_20260906,M15,BUY,USD,2962.1,2960.6,2965.1,,2965.1,03-09-2026 20:32,2m,4.3,0,2.87,FALSE,TP,,
03-09-2026,19:15,US2000_M15_20260828_20260906,M15,SELL,USD,2969.4,2970.9,2966.4,,2970.9,03-09-2026 19:16,1m,0.7,1.8,0.47,FALSE,SL,,
04-09-2026,03:45,US2000_M15_20260828_20260906,M15,SELL,USD,2967.7,2969.2,2964.7,,2969.2,04-09-2026 05:31,106m,0.1,1.6,0.07,FALSE,SL,,
04-09-2026,13:30,US2000_M15_20260828_20260906,M15,SELL,USD,2972.4,2973.9,2969.4,,2969.4,04-09-2026 13:55,25m,3.1,0.3,2.07,FALSE,TP,,
04-09-2026,14:30,US2000_M15_20260828_20260906,M15,BUY,USD,2971,2969.5,2974,,2969.5,04-09-2026 14:41,11m,1.3,1.6,0.87,FALSE,SL,,
04-09-2026,14:45,US2000_M15_20260828_20260906,M15,SELL,USD,2968.9,2970.4,2965.9,,2970.4,04-09-2026 15:55,70m,1.7,2.4,1.13,FALSE,SL,,
04-09-2026,16:15,US2000_M15_20260828_20260906,M15,BUY,USD,2969.3,2967.8,2972.3,,2967.8,04-09-2026 17:31,76m,2.2,1.6,1.47,FALSE,SL,,
04-09-2026,19:15,US2000_M15_20260828_20260906,M15,BUY,USD,2965.3,2963.8,2968.3,,2968.3,04-09-2026 19:18,3m,3.3,0.8,2.2,FALSE,TP,,
04-09-2026,20:30,US2000_M15_20260828_20260906,M15,SELL,USD,2968.9,2970.4,2965.9,,2970.4,04-09-2026 20:34,4m,1.5,1.9,1,FALSE,SL,,
04-09-2026,20:45,US2000_M15_20260828_20260906,M15,BUY,USD,2971.5,2970,2974.5,,2970,04-09-2026 21:02,17m,1.1,1.5,0.73,FALSE,SL,,
04-09-2026,22:30,US2000_M15_20260828_20260906,M15,SELL,USD,2975,2976.5,2972,,2972,04-09-2026 22:57,27m,3.1,0.3,2.07,FALSE,TP,,
