Date,Time,Symbol,Timeframe,Side,Unit,Entry,SL,TP,BE,Exit,ExitTime,Duration,MFE,MAE,MaxRR,BEActivated,Result
07-09-2026,04:45,US2000_M15_20260829_20260907,M15,SELL,USD,2976.3,2977.8,2973.3,,2977.8,07-09-2026 06:13,88m,1.6000000000003638,1.5,1.07,false,SL
07-09-2026,06:30,US2000_M15_20260829_20260907,M15,SELL,USD,2975.5,2977,2972.5,,2977,07-09-2026 06:35,5m,0.599999999999909,1.800000000000182,0.4,false,SL
07-09-2026,07:00,US2000_M15_20260829_20260907,M15,BUY,USD,2976.7,2975.2,2979.7,,2975.2,07-09-2026 08:30,90m,1,1.7999999999997272,0.67,false,SL
07-09-2026,09:15,US2000_M15_20260829_20260907,M15,SELL,USD,2973.9,2975.4,2970.9,,2970.9,07-09-2026 11:38,143m,3.5,0.6999999999998181,2.33,false,TP
07-09-2026,12:15,US2000_M15_20260829_20260907,M15,BUY,USD,2974.1,2972.6,2977.1,,2977.1,07-09-2026 12:38,23m,3.099999999999909,1,2.07,false,TP
07-09-2026,13:00,US2000_M15_20260829_20260907,M15,SELL,USD,2973.5,2975,2970.5,,2975,07-09-2026 13:22,22m,2.099999999999909,1.5,1.4,false,SL
07-09-2026,13:30,US2000_M15_20260829_20260907,M15,BUY,USD,2975.9,2974.4,2978.9,,2974.4,07-09-2026 13:40,10m,0.40000000000009095,1.599999999999909,0.27,false,SL
07-09-2026,14:00,US2000_M15_20260829_20260907,M15,BUY,USD,2975.3,2973.8,2978.3,,2973.8,07-09-2026 14:17,17m,0.7999999999997272,1.5,0.53,false,SL
07-09-2026,14:45,US2000_M15_20260829_20260907,M15,SELL,USD,2974.2,2975.7,2971.2,,2971.2,07-09-2026 16:17,92m,3,0.6000000000003638,2,false,TP
07-09-2026,17:30,US2000_M15_20260829_20260907,M15,BUY,USD,2968,2966.5,2971,,2971,07-09-2026 18:20,50m,3.300000000000182,0.40000000000009095,2.2,false,TP
07-09-2026,19:15,US2000_M15_20260829_20260907,M15,SELL,USD,2969,2970.5,2966,,2970.5,07-09-2026 19:30,15m,0.6999999999998181,1.900000000000091,0.47,false,SL
07-09-2026,19:45,US2000_M15_20260829_20260907,M15,BUY,USD,2970.8,2969.3,2973.8,,2969.3,07-09-2026 20:28,43m,2.699999999999818,1.5,1.8,false,SL
07-09-2026,20:30,US2000_M15_20260829_20260907,M15,SELL,USD,2968.7,2970.2,2965.7,,2970.2,07-09-2026 20:31,1m,0.1999999999998181,1.5,0.13,false,SL
