Date,Time,Symbol,Timeframe,Side,Unit,Entry,SL,TP,BE,Exit,ExitTime,Duration,MFE,MAE,MaxRR,BEActivated,Result
03-09-2026,04:15,ohlc_GOLD_M15_IST_20260903_20260903,M15,SELL,USD,4385.03,4390.03,4375.03,4385.03,4390.03,03-09-2026 05:35,80m,4,5.33,0.8,FALSE,SL
03-09-2026,06:00,ohlc_GOLD_M15_IST_20260903_20260903,M15,SELL,USD,4387.1,4392.1,4377.1,4387.1,4392.1,03-09-2026 06:20,20m,4.63,5.07,0.93,FALSE,SL
03-09-2026,10:45,ohlc_GOLD_M15_IST_20260903_20260903,M15,SELL,USD,4429.55,4434.55,4419.55,4429.55,4434.55,03-09-2026 11:18,33m,7.15,6.29,1.43,FALSE,SL
03-09-2026,11:30,ohlc_GOLD_M15_IST_20260903_20260903,M15,SELL,USD,4431.01,4436.01,4421.01,4431.01,4436.01,03-09-2026 11:37,7m,2.41,5.21,0.48,FALSE,SL
03-09-2026,11:45,ohlc_GOLD_M15_IST_20260903_20260903,M15,SELL,USD,4426.9,4431.9,4416.9,4426.9,4431.9,03-09-2026 13:33,108m,8.22,11.79,1.64,FALSE,SL
03-09-2026,15:00,ohlc_GOLD_M15_IST_20260903_20260903,M15,SELL,USD,4435.13,4440.13,4425.13,4435.13,4425.13,03-09-2026 15:39,39m,10.12,2.77,2.02,TRUE,TP
03-09-2026,16:15,ohlc_GOLD_M15_IST_20260903_20260903,M15,BUY,USD,4425.47,4420.47,4435.47,4425.47,4435.47,03-09-2026 16:48,33m,12.52,1.48,2.5,TRUE,TP
03-09-2026,17:15,ohlc_GOLD_M15_IST_20260903_20260903,M15,BUY,USD,4438.79,4433.79,4448.79,4438.79,4448.79,03-09-2026 17:36,21m,10.21,2.36,2.04,TRUE,TP
03-09-2026,19:00,ohlc_GOLD_M15_IST_20260903_20260903,M15,SELL,USD,4479.92,4484.92,4469.92,4479.92,4469.92,03-09-2026 19:11,11m,10.72,2.34,2.14,TRUE,TP
03-09-2026,21:15,ohlc_GOLD_M15_IST_20260903_20260903,M15,SELL,USD,4494.91,4499.91,4484.91,4494.91,4494.91,03-09-2026 21:42,27m,8.91,0.54,1.78,TRUE,BE
